Entity,Region,Life Expectancy,,,
Morocco,Africa,76.68,,Netherlands,82.28
Mozambique,Africa,60.85,,New Zealand,82.29
Myanmar,Asia,67.13,,Nicaragua,74.49
Namibia,Africa,63.71,,Niger,62.42
Nauru,Oceania,59.96,,Nigeria,54.69
Nepal,Asia,70.78,,North Macedonia,75.8
Netherlands,Europe,82.28,,Norway,82.4
New Zealand,Oceania,82.29,,Oman,77.86
Nicaragua,Central America,74.49,,Pakistan,67.27
Niger,Africa,62.42,,Panama,78.51
Nigeria,Africa,54.69,,Papua New Guinea,64.5
North Korea,Asia,72.27,,Paraguay,74.25
North Macedonia,Europe,75.8,,Peru,76.74
Norway,Europe,82.4,,Philippines,71.23
Oman,Asia,77.86,,Poland,78.73
Pakistan,Asia,67.27,,Portugal,82.05
Palau,Oceania,73.7,,Qatar,80.23
Palestine,Asia,74.05,,Republic of the Congo,64.57
Panama,Central America,78.51,,Romania,76.05
Papua New Guinea,Oceania,64.5,,Russia,72.58
Paraguay,South America,74.25,,Rwanda,69.02
Peru,South America,76.74,,Saint Lucia,76.2
Philippines,Asia,71.23,,Saint Vincent and the Grenadines,72.53
Poland,Europe,78.73,,Samoa,73.32
Portugal,Europe,82.05,,Sao Tome and Principe,70.39
Qatar,Asia,80.23,,Saudi Arabia,75.13
Romania,Europe,76.05,,Senegal,67.94
Russia,Asia,72.58,,Serbia,76
Rwanda,Africa,69.02,,Seychelles,73.4
Saint Kitts and Nevis,Central America,76.23,,Sierra Leone,54.7
Saint Lucia,Central America,76.2,,Singapore,83.62
Saint Vincent and the Grenadines,Central America,72.53,,Slovakia,77.54
Samoa,Oceania,73.32,,Slovenia,81.32
Sao Tome and Principe,Africa,70.39,,Solomon Islands,73
Saudi Arabia,Asia,75.13,,South Africa,64.13
Senegal,Africa,67.94,,South Korea,83.03
Serbia,Europe,76,,Spain,83.57
Seychelles,Africa,73.4,,Sri Lanka,76.98
Sierra Leone,Africa,54.7,,Sudan,65.31
Singapore,Asia,83.62,,Suriname,71.68
Slovakia,Europe,77.54,,Sweden,82.8
Slovenia,Europe,81.32,,Switzerland,83.78
Solomon Islands,Oceania,73,,Tajikistan,71.1
Somalia,Africa,57.4,,Tanzania,65.46
South Africa,Africa,64.13,,Thailand,77.15
South Korea,Asia,83.03,,Timor,69.5
South Sudan,Africa,57.85,,Togo,61.04
Spain,Europe,83.57,,Tonga,70.91
Sri Lanka,Asia,76.98,,Trinidad and Tobago,73.51
St. Kitts-Nevis-Anguilla,Central America,76.35,,Tunisia,76.7
Sudan,Africa,65.31,,Turkey,77.69
Suriname,South America,71.68,,Turkmenistan,68.19
Sweden,Europe,82.8,,Uganda,63.37
Switzerland,Europe,83.78,,Ukraine,72.07
Syria,Asia,72.7,,United Arab Emirates,77.97
Tajikistan,Asia,71.1,,United Kingdom,81.32
Tanzania,Africa,65.46,,United States,78.86
Thailand,Asia,77.15,,Uruguay,77.91
Timor,Asia,69.5,,Uzbekistan,71.73
Togo,Africa,61.04,,Vanuatu,70.47
Tonga,Oceania,70.91,,Venezuela,72.06
Trinidad and Tobago,Central America,73.51,,Vietnam,75.4
Tunisia,Africa,76.7,,Zambia,63.89
Turkey,Europe,77.69,,Zimbabwe,61.49
Turkmenistan,Asia,68.19,,,
Tuvalu,Oceania,67.57,,,
Uganda,Africa,63.37,,,
Ukraine,Europe,72.07,,,
United Arab Emirates,Asia,77.97,,,
United Kingdom,Europe,81.32,,,
United States,North America,78.86,,,
Uruguay,South America,77.91,,,
Uzbekistan,Asia,71.73,,,
Vanuatu,Oceania,70.47,,,
Venezuela,South America,72.06,,,
Vietnam,Asia,75.4,,,
Yemen,Asia,66.13,,,
Zambia,Africa,63.89,,,
Zimbabwe,Africa,61.49,,,
