Date,GBPUSD=X,EURUSD=X
2019-12-30,1.3091918230056763,1.1182304620742798
2019-12-31,1.3113033771514893,1.120229721069336
2020-01-01,1.326259970664978,1.1220825910568237
2020-01-02,1.3250298500061035,1.1220825910568237
2020-01-03,1.3152703046798706,1.1171437501907349
2020-01-06,1.308010220527649,1.1161960363388062
2020-01-07,1.317002534866333,1.1197994947433472
2020-01-08,1.31137216091156,1.1154738664627075
2020-01-09,1.3105130195617676,1.1113210916519165
2020-01-10,1.3070186376571655,1.1111111640930176
2020-01-13,1.3045634031295776,1.1116669178009033
2020-01-14,1.2988194227218628,1.1135733127593994
2020-01-15,1.3022528886795044,1.113089919090271
2020-01-16,1.3041210174560547,1.1154004335403442
2020-01-17,1.3078734874725342,1.1139578819274902
2020-01-20,1.3007283210754395,1.1094592809677124
2020-01-21,1.3005592823028564,1.109693169593811
2020-01-22,1.3048017024993896,1.108561396598816
2020-01-23,1.3144749402999878,1.1096439361572266
2020-01-24,1.311991572380066,1.1055220365524292
2020-01-27,1.3061821460723877,1.1025358438491821
2020-01-28,1.3060115575790405,1.101976990699768
2020-01-29,1.3024563789367676,1.1022562980651855
2020-01-30,1.3022021055221558,1.1016855239868164
2020-01-31,1.3089004755020142,1.1029127836227417
2020-02-03,1.31816565990448,1.1089794635772705
2020-02-04,1.2997479438781738,1.1062926054000854
2020-02-05,1.3032711744308472,1.1047282218933105
2020-02-06,1.2997140884399414,1.1002310514450073
2020-02-07,1.2930254936218262,1.0982975959777832
2020-02-10,1.2891582250595093,1.0949305295944214
2020-02-11,1.2918227910995483,1.0913456678390503
2020-02-12,1.2956557273864746,1.091941475868225
2020-02-13,1.295756459236145,1.0875948667526245
2020-02-14,1.3046824932098389,1.0845986604690552
2020-02-17,1.3052955865859985,1.0841753482818604
2020-02-18,1.3008975982666016,1.0840108394622803
2020-02-19,1.3002209663391113,1.079540491104126
2020-02-20,1.2928247451782227,1.081009864807129
2020-02-21,1.2883278131484985,1.078799843788147
2020-02-24,1.29537034034729,1.0839051008224487
2020-02-25,1.292657732963562,1.0849199295043945
2020-02-26,1.3003394603729248,1.0881996154785156
2020-02-27,1.2906889915466309,1.0885894298553467
2020-02-28,1.2888922691345215,1.0997228622436523
2020-03-02,1.2807048559188843,1.1051311492919922
2020-03-03,1.2767152786254883,1.1144047975540161
2020-03-04,1.2820841073989868,1.118067979812622
2020-03-05,1.2874983549118042,1.113908290863037
2020-03-06,1.295068383216858,1.1223849058151245
2020-03-09,1.3099292516708374,1.1386020183563232
2020-03-10,1.3075313568115234,1.1397960186004639
2020-03-11,1.2909722328186035,1.1316505670547485
2020-03-12,1.2818212509155273,1.1261515617370605
2020-03-13,1.257023572921753,1.1184931993484497
2020-03-16,1.2399870157241821,1.115536093711853
2020-03-17,1.2266627550125122,1.1163206100463867
2020-03-18,1.2121652364730835,1.101552128791809
2020-03-19,1.1625338792800903,1.0961546897888184
2020-03-20,1.149438500404358,1.0657345056533813
2020-03-23,1.162304162979126,1.0694386959075928
2020-03-24,1.1595547199249268,1.0764610767364502
2020-03-25,1.1792036294937134,1.080263614654541
2020-03-26,1.1851149797439575,1.0889569520950317
2020-03-27,1.2200626134872437,1.1048258543014526
2020-03-30,1.245319128036499,1.113908290863037
2020-03-31,1.2371643781661987,1.1030466556549072
2020-04-01,1.2408487796783447,1.102657437324524
2020-04-02,1.238236665725708,1.0953621864318848
2020-04-03,1.2394952774047852,1.0847399234771729
2020-04-06,1.2220158576965332,1.0806955099105835
2020-04-07,1.2240501642227173,1.0803803205490112
2020-04-08,1.2338672876358032,1.0895144939422607
2020-04-09,1.23931086063385,1.0863661766052246
2020-04-10,1.2454850673675537,1.0927408933639526
2020-04-13,1.2461059093475342,1.0932666063308716
2020-04-14,1.2523951530456543,1.0922993421554565
2020-04-15,1.26262629032135,1.098538875579834
2020-04-16,1.252097249031067,1.0905101299285889
2020-04-17,1.2487823963165283,1.0858471393585205
2020-04-20,1.248751163482666,1.0866966247558594
2020-04-21,1.2442762851715088,1.0864840745925903
2020-04-22,1.2298610210418701,1.0856467485427856
2020-04-23,1.2323921918869019,1.080964207649231
2020-04-24,1.235223650932312,1.077702283859253
2020-04-27,1.2366595268249512,1.08236825466156
2020-04-28,1.2422668933868408,1.0824854373931885
2020-04-29,1.2435646057128906,1.0836584568023682
2020-04-30,1.2471472024917603,1.087725043296814
2020-05-01,1.2581465244293213,1.094546914100647
2020-05-04,1.2454230785369873,1.0959625244140625
2020-05-05,1.244555115699768,1.0904293060302734
2020-05-06,1.2444202899932861,1.0838581323623657
2020-05-07,1.232559323310852,1.0798553228378296
2020-05-08,1.237593173980713,1.0837171077728271
2020-05-11,1.2417423725128174,1.0839520692825317
2020-05-12,1.2333498001098633,1.080940842628479
2020-05-13,1.2254902124404907,1.0846810340881348
2020-05-14,1.224155068397522,1.08236825466156
2020-05-15,1.2233912944793701,1.0806955099105835
2020-05-18,1.2085760831832886,1.0821340084075928
2020-05-19,1.2200031280517578,1.0915124416351318
2020-05-20,1.2255953550338745,1.0927767753601074
2020-05-21,1.2236906290054321,1.0982975959777832
2020-05-22,1.2223445177078247,1.0952903032302856
2020-05-25,1.218605637550354,1.0907801389694214
2020-05-26,1.220137119293213,1.0902997255325317
2020-05-27,1.23350191116333,1.0981770753860474
2020-05-28,1.2264822721481323,1.1016855239868164
2020-05-29,1.2321492433547974,1.1079105138778687
2020-06-01,1.2347996234893799,1.1118524074554443
2020-06-02,1.248704433441162,1.1125946044921875
2020-06-03,1.2581465244293213,1.118943691253662
