Country,Region,EPI Score,Life Expectancy,Health Expenditure per Capita (current $US)
Canada,Europe / North America,71,82.43,4994.90
Malta,Europe / North America,70.7,82.53,2753.51
France,Europe / North America,80,82.66,4690.07
Sweden,Europe / North America,78.7,82.8,5981.71
Israel,Asia,65.8,82.97,3323.65
Iceland,Europe / North America,72.3,82.99,6530.93
South Korea,Asia,66.5,83.03,2542.82
Australia,Oceania,74.9,83.44,5425.34
Italy,Europe / North America,71,83.51,2989.00
Spain,Europe / North America,74.3,83.57,2736.32
Singapore,Asia,58.1,83.62,2823.64
Switzerland,Europe / North America,81.5,83.78,9870.66
Japan,Asia,75.1,84.63,4266.59
