timestamp,open,high,low,close,volume
23/12/2021 19:55,130.6,130.6,130.6,130.6,103
23/12/2021 19:40,130.5,130.5,130.5,130.5,200
23/12/2021 18:45,130.5,130.5,130.5,130.5,196
23/12/2021 17:35,130.41,130.41,130.41,130.41,100
23/12/2021 17:30,130.4,130.4,130.4,130.4,417
23/12/2021 17:20,130.51,130.52,130.51,130.51,806
23/12/2021 16:55,130.52,130.52,130.51,130.51,409
23/12/2021 16:25,130.55,130.55,130.52,130.52,320
23/12/2021 16:05,130.63,130.63,130.63,130.63,48920
23/12/2021 16:00,130.935,130.935,130.61,130.63,159504
23/12/2021 15:55,130.9,130.96,130.89,130.935,75141
23/12/2021 15:50,130.8001,130.899,130.8001,130.89,69691
23/12/2021 15:45,130.815,130.82,130.7001,130.8032,49518
23/12/2021 15:40,130.82,130.95,130.795,130.8175,55906
23/12/2021 15:35,130.905,130.905,130.79,130.8141,33862
23/12/2021 15:30,130.855,130.9299,130.83,130.9058,27270
23/12/2021 15:25,130.856,130.875,130.77,130.8485,29606
23/12/2021 15:20,130.89,130.94,130.8532,130.865,38140
23/12/2021 15:15,130.7764,130.89,130.77,130.88,31891
23/12/2021 15:10,130.65,130.77,130.6488,130.77,20617
23/12/2021 15:05,130.69,130.7,130.6287,130.6318,19147
23/12/2021 15:00,130.73,130.76,130.68,130.69,14577
23/12/2021 14:55,130.7113,130.7468,130.69,130.7468,20860
23/12/2021 14:50,130.68,130.75,130.68,130.705,22661
23/12/2021 14:45,130.765,130.78,130.68,130.68,21798
23/12/2021 14:40,130.81,130.86,130.76,130.7739,28420
23/12/2021 14:35,130.78,130.82,130.665,130.8,37739
23/12/2021 14:30,130.7589,130.84,130.7589,130.7765,27662
23/12/2021 14:25,130.7447,130.7726,130.72,130.75,18135
23/12/2021 14:20,130.67,130.75,130.6697,130.75,16757
23/12/2021 14:15,130.66,130.7091,130.66,130.67,10893
23/12/2021 14:10,130.6781,130.6781,130.62,130.66,13653
23/12/2021 14:05,130.65,130.72,130.6291,130.68,15954
23/12/2021 14:00,130.72,130.74,130.61,130.64,20444
23/12/2021 13:55,130.6,130.715,130.59,130.715,17562
23/12/2021 13:50,130.566,130.67,130.566,130.6143,23655
23/12/2021 13:45,130.609,130.635,130.54,130.56,32559
23/12/2021 13:40,130.6,130.6298,130.54,130.595,22293
23/12/2021 13:35,130.65,130.67,130.6,130.61,16500
23/12/2021 13:30,130.54,130.6996,130.53,130.649,22247
23/12/2021 13:25,130.64,130.685,130.48,130.569,48400
23/12/2021 13:20,130.6,130.65,130.5645,130.635,22096
23/12/2021 13:15,130.61,130.65,130.581,130.61,23208
23/12/2021 13:10,130.8,130.82,130.61,130.61,29948
23/12/2021 13:05,130.85,130.88,130.76,130.78,20862
23/12/2021 13:00,130.79,130.8598,130.79,130.85,21514
23/12/2021 12:55,130.825,130.8395,130.77,130.7864,27971
23/12/2021 12:50,130.8018,130.86,130.75,130.831,27562
23/12/2021 12:45,130.89,130.91,130.8,130.805,20294
23/12/2021 12:40,130.82,130.91,130.81,130.87,35606
23/12/2021 12:35,130.7546,130.86,130.75,130.815,37534
23/12/2021 12:30,130.73,130.7685,130.66,130.7685,17888
23/12/2021 12:25,130.57,130.75,130.57,130.73,17440
23/12/2021 12:20,130.64,130.71,130.51,130.57,24156
23/12/2021 12:15,130.6,130.77,130.59,130.63,38272
23/12/2021 12:10,130.513,130.5784,130.453,130.5784,29444
23/12/2021 12:05,130.74,130.75,130.5,130.5,34202
23/12/2021 12:00,130.57,130.83,130.55,130.741,55659
23/12/2021 11:55,130.36,130.58,130.35,130.58,22747
23/12/2021 11:50,130.39,130.44,130.33,130.37,22044
23/12/2021 11:45,130.39,130.49,130.39,130.42,33273
23/12/2021 11:40,130.37,130.44,130.32,130.39,15699
23/12/2021 11:35,130.54,130.55,130.36,130.41,25293
23/12/2021 11:30,130.44,130.56,130.43,130.53,31362
23/12/2021 11:25,130.53,130.57,130.43,130.43,21947
23/12/2021 11:20,130.5945,130.6,130.39,130.52,28734
23/12/2021 11:15,130.66,130.67,130.51,130.58,39428
23/12/2021 11:10,130.649,130.7,130.62,130.66,31088
23/12/2021 11:05,130.585,130.7,130.57,130.65,37169
23/12/2021 11:00,130.59,130.645,130.56,130.58,27402
23/12/2021 10:55,130.4619,130.63,130.46,130.55,36162
23/12/2021 10:50,130.32,130.57,130.29,130.4659,56404
23/12/2021 10:45,130.25,130.35,130.19,130.29,26853
23/12/2021 10:40,130.24,130.33,130.21,130.24,38369
23/12/2021 10:35,130.37,130.43,130.24,130.25,20756
23/12/2021 10:30,130.23,130.45,130.22,130.4,31007
23/12/2021 10:25,130.2,130.31,130.05,130.25,34945
23/12/2021 10:20,130.27,130.34,130.1705,130.2,23356
23/12/2021 10:15,130.3505,130.4712,130.23,130.27,39247
23/12/2021 10:10,130.275,130.39,130.21,130.37,25214
23/12/2021 10:05,130.26,130.3,130.11,130.2972,24832
23/12/2021 10:00,130.43,130.62,130.14,130.2243,55941
23/12/2021 09:55,130.54,130.64,130.35,130.49,31540
23/12/2021 09:50,130.349,130.69,130,130.54,181855
23/12/2021 09:45,130.27,130.52,130.16,130.35,58154
23/12/2021 09:40,129.76,130.38,129.73,130.26,42508
23/12/2021 09:35,130,130.67,129.52,129.68,261187
23/12/2021 09:30,129.95,130,129.8,129.8,3289
23/12/2021 09:05,129.8,129.8,129.8,129.8,320
23/12/2021 09:00,129.77,129.79,129.77,129.79,654
23/12/2021 08:45,129.85,129.85,129.63,129.64,1324
23/12/2021 08:30,129.85,129.85,129.85,129.85,100
23/12/2021 08:05,129.8882,129.8882,129.8882,129.8882,280
23/12/2021 07:45,129.89,129.89,129.89,129.89,352
23/12/2021 07:10,129.89,129.89,129.89,129.89,115
22/12/2021 20:00,129.44,129.44,129.44,129.44,424
22/12/2021 18:50,129.59,129.59,129.59,129.59,548
22/12/2021 18:45,129.48,129.48,129.48,129.48,503
22/12/2021 18:40,129.42,129.42,129.38,129.38,530
22/12/2021 18:20,129.8899,129.8899,129.8899,129.8899,100
