Date,Country,Metric Tonnes of Carbon Dioxide,,
1909,South Africa,21.4,,
1910,South Africa,25.4,,
1911,South Africa,25.2,,
1912,South Africa,26.6,,
1913,South Africa,33.9,,
1914,South Africa,28.8,,
1915,South Africa,30,,
1916,South Africa,36.3,,
1917,South Africa,29,,
1918,South Africa,38,,
1919,South Africa,36.2,,
1920,South Africa,41.7,,
1921,South Africa,49.7,,
1922,South Africa,39.4,,
1923,South Africa,41.1,,
1924,South Africa,47.7,,
1925,South Africa,44.6,,
1926,South Africa,52.4,,
1927,South Africa,49.4,,
1928,South Africa,53.7,,
1929,South Africa,46.8,,
1930,South Africa,52.5,,
1931,South Africa,52.1,,
1932,South Africa,48.9,,
1933,South Africa,51.2,,
1934,South Africa,55.4,,
1935,South Africa,51.3,,
1936,South Africa,58.2,,
1937,South Africa,61.5,,
1938,South Africa,59.7,,
1939,South Africa,64.9,,
1940,South Africa,63.2,,
1941,South Africa,69.7,,
1942,South Africa,86.3,,
1943,South Africa,78.6,,
1944,South Africa,111,,
1945,South Africa,100,,
1946,South Africa,121,,
1947,South Africa,130,,
1948,South Africa,139,,
1949,South Africa,148,,
1950,South Africa,152,,
1951,South Africa,156,,
1952,South Africa,161,,
1953,South Africa,160,,
1954,South Africa,160,,
1955,South Africa,166,,
1956,South Africa,168,,
1957,South Africa,168,,
1958,South Africa,173,,
1959,South Africa,172,,
1960,South Africa,176,,
1961,South Africa,188,,
1962,South Africa,194,,
1963,South Africa,201,,
1964,South Africa,212,,
1965,South Africa,224,,
1966,South Africa,223,,
1967,South Africa,233,,
1968,South Africa,242,,
1969,South Africa,252,,
1970,South Africa,250,,
1971,South Africa,260,,
1972,South Africa,266,,
1973,South Africa,270,,
1974,South Africa,272,,
1975,South Africa,272,,
1976,South Africa,279,,
1977,South Africa,283,,
1978,South Africa,282,,
1979,South Africa,307,,
1980,South Africa,309,,
1981,South Africa,333,,
1982,South Africa,346,,
1983,South Africa,343,,
1984,South Africa,372,,
1985,South Africa,382,,
1986,South Africa,378,,
1987,South Africa,382,,
1988,South Africa,396,,
1989,South Africa,377,,
1990,South Africa,388,,
1991,South Africa,365,,
1992,South Africa,403,,
1993,South Africa,384,,
1994,South Africa,425,,
1995,South Africa,397,,
1996,South Africa,434,,
1997,South Africa,459,,
1998,South Africa,455,,
1999,South Africa,452,,
2000,South Africa,452,,
2001,South Africa,452,,
2002,South Africa,466,,
2003,South Africa,488,,
2004,South Africa,508,,
2005,South Africa,504,,
2006,South Africa,553,,
2007,South Africa,513,,
2008,South Africa,549,,
2009,South Africa,539,,
2010,South Africa,535,,
2011,South Africa,536,,
2012,South Africa,539,,
2013,South Africa,555,,
2014,South Africa,530,,
2015,South Africa,540,,
2016,South Africa,550,,
2017,South Africa,548,,
2018,South Africa,557,,
1850,Vietnam,4.74,,
1851,Vietnam,4.24,,
1852,Vietnam,5.23,,
1853,Vietnam,5.71,,
1854,Vietnam,6.18,,
1855,Vietnam,6.65,,
1856,Vietnam,7.1,,
1857,Vietnam,7.55,,
1858,Vietnam,7.98,,
1859,Vietnam,8.41,,
1860,Vietnam,8.83,,
1861,Vietnam,9.24,,
1862,Vietnam,9.64,,
1863,Vietnam,10,,
1864,Vietnam,10.4,,
1865,Vietnam,10.8,,
1866,Vietnam,11.1,,
1867,Vietnam,11.5,,
1868,Vietnam,11.8,,
1869,Vietnam,12.2,,
1870,Vietnam,12.5,,
1871,Vietnam,12.8,,
1872,Vietnam,13.1,,
1873,Vietnam,13.5,,
1874,Vietnam,13.8,,
1875,Vietnam,14.1,,
1876,Vietnam,14.4,,
1877,Vietnam,14.6,,
1878,Vietnam,14.9,,
1879,Vietnam,15.2,,
1880,Vietnam,15.6,,
1881,Vietnam,15.4,,
1882,Vietnam,15.8,,
1883,Vietnam,16.1,,
1884,Vietnam,16.2,,
1885,Vietnam,16.4,,
1886,Vietnam,16.6,,
1887,Vietnam,16.8,,
1888,Vietnam,17.8,,
1889,Vietnam,18,,
1890,Vietnam,17.6,,
1891,Vietnam,18.2,,
1892,Vietnam,17.6,,
1893,Vietnam,16.9,,
1894,Vietnam,18.3,,
1895,Vietnam,17.9,,
1896,Vietnam,17.1,,
1897,Vietnam,17.4,,
1898,Vietnam,17.4,,
1899,Vietnam,17.4,,
1900,Vietnam,18.2,,
1901,Vietnam,18.3,,
1902,Vietnam,18.3,,
1903,Vietnam,18.5,,
1904,Vietnam,18.8,,
1905,Vietnam,18.9,,
1906,Vietnam,19,,
1907,Vietnam,19.1,,
1908,Vietnam,19.5,,
1909,Vietnam,19.3,,
1910,Vietnam,19.9,,
1911,Vietnam,19.9,,
1912,Vietnam,20,,
1913,Vietnam,21.2,,
1914,Vietnam,20.3,,
1915,Vietnam,20.9,,
1916,Vietnam,21.3,,
1917,Vietnam,20.7,,
1918,Vietnam,21.7,,
1919,Vietnam,21.4,,
1920,Vietnam,22.9,,
1921,Vietnam,31.8,,
1922,Vietnam,23.7,,
1923,Vietnam,22,,
1924,Vietnam,31.7,,
1925,Vietnam,24.7,,
1926,Vietnam,32.4,,
1927,Vietnam,31.1,,
1928,Vietnam,32.1,,
1929,Vietnam,26,,
1930,Vietnam,30.8,,
1931,Vietnam,31.6,,
1932,Vietnam,27.3,,
1933,Vietnam,28.1,,
1934,Vietnam,30.9,,
1935,Vietnam,29.7,,
1936,Vietnam,31.6,,
1937,Vietnam,31.6,,
1938,Vietnam,31.7,,
1939,Vietnam,31.9,,
1940,Vietnam,32.1,,
1941,Vietnam,31.7,,
1942,Vietnam,28.8,,
1943,Vietnam,29.1,,
1944,Vietnam,27.3,,
1945,Vietnam,27.8,,
1946,Vietnam,27.7,,
1947,Vietnam,28.1,,
1948,Vietnam,28.7,,
1949,Vietnam,29.1,,
1950,Vietnam,29.7,,
1951,Vietnam,30.2,,
1952,Vietnam,31.9,,
1953,Vietnam,33.5,,
1954,Vietnam,36.2,,
1955,Vietnam,39.2,,
1956,Vietnam,40.7,,
1957,Vietnam,42.6,,
1958,Vietnam,46.3,,
1959,Vietnam,49.1,,
1960,Vietnam,50.7,,
1961,Vietnam,50.5,,
1962,Vietnam,52.9,,
1963,Vietnam,50.8,,
1964,Vietnam,56.5,,
1965,Vietnam,61.3,,
1966,Vietnam,56.8,,
1967,Vietnam,65.6,,
1968,Vietnam,66.7,,
1969,Vietnam,70.7,,
1970,Vietnam,71.3,,
1971,Vietnam,67.2,,
1972,Vietnam,67.4,,
1973,Vietnam,70.9,,
1974,Vietnam,65.7,,
1975,Vietnam,65.9,,
1976,Vietnam,61.5,,
1977,Vietnam,65.3,,
1978,Vietnam,66.8,,
1979,Vietnam,67.2,,
1980,Vietnam,68.5,,
1981,Vietnam,70.6,,
1982,Vietnam,74.9,,
1983,Vietnam,72.6,,
1984,Vietnam,73.4,,
1985,Vietnam,78.3,,
1986,Vietnam,77.5,,
1987,Vietnam,80.8,,
1988,Vietnam,82.5,,
1989,Vietnam,83.1,,
1990,Vietnam,86.1,,
1991,Vietnam,87.8,,
1992,Vietnam,96.5,,
1993,Vietnam,91,,
1994,Vietnam,103,,
1995,Vietnam,78.6,,
1996,Vietnam,114,,
1997,Vietnam,127,,
1998,Vietnam,136,,
1999,Vietnam,142,,
2000,Vietnam,151,,
2001,Vietnam,159,,
2002,Vietnam,174,,
2003,Vietnam,187,,
2004,Vietnam,207,,
2005,Vietnam,218,,
2006,Vietnam,313,,
2007,Vietnam,225,,
2008,Vietnam,292,,
2009,Vietnam,232,,
2010,Vietnam,345,,
2011,Vietnam,281,,
2012,Vietnam,245,,
2013,Vietnam,289,,
2014,Vietnam,267,,
2015,Vietnam,281,,
2016,Vietnam,364,,
2017,Vietnam,368,,
2018,Vietnam,410,,
1850,UAE,0.08,,
1851,UAE,0.08,,
1852,UAE,0.09,,
1853,UAE,0.09,,
1854,UAE,0.09,,
1855,UAE,0.09,,
1856,UAE,0.09,,
1857,UAE,0.1,,
1858,UAE,0.1,,
1859,UAE,0.1,,
1860,UAE,0.1,,
1861,UAE,0.1,,
1862,UAE,0.1,,
1863,UAE,0.11,,
1864,UAE,0.11,,
1865,UAE,0.11,,
1866,UAE,0.11,,
1867,UAE,0.11,,
1868,UAE,0.11,,
1869,UAE,0.12,,
1870,UAE,0.12,,
1871,UAE,0.12,,
1872,UAE,0.12,,
1873,UAE,0.13,,
1874,UAE,0.13,,
1875,UAE,0.13,,
1876,UAE,0.13,,
1877,UAE,0.14,,
1878,UAE,0.14,,
1879,UAE,0.14,,
1880,UAE,0.15,,
1881,UAE,0.14,,
1882,UAE,0.15,,
1883,UAE,0.15,,
1884,UAE,0.15,,
1885,UAE,0.15,,
1886,UAE,0.16,,
1887,UAE,0.16,,
1888,UAE,0.22,,
1889,UAE,0.23,,
1890,UAE,0.21,,
1891,UAE,0.23,,
1892,UAE,0.2,,
1893,UAE,0.16,,
1894,UAE,0.24,,
1895,UAE,0.2,,
1896,UAE,0.16,,
1897,UAE,0.19,,
1898,UAE,0.18,,
1899,UAE,0.18,,
1900,UAE,0.25,,
1901,UAE,0.26,,
1902,UAE,0.27,,
1903,UAE,0.29,,
1904,UAE,0.3,,
1905,UAE,0.31,,
1906,UAE,0.32,,
1907,UAE,0.33,,
1908,UAE,0.35,,
1909,UAE,0.34,,
1910,UAE,0.35,,
1911,UAE,0.36,,
1912,UAE,0.36,,
1913,UAE,0.36,,
1914,UAE,0.36,,
1915,UAE,0.36,,
1916,UAE,0.36,,
1917,UAE,0.36,,
1918,UAE,0.36,,
1919,UAE,0.36,,
1920,UAE,0.38,,
1921,UAE,0.89,,
1922,UAE,0.4,,
1923,UAE,0.36,,
1924,UAE,0.94,,
1925,UAE,0.44,,
1926,UAE,0.84,,
1927,UAE,0.99,,
1928,UAE,0.79,,
1929,UAE,0.49,,
1930,UAE,1.03,,
1931,UAE,0.73,,
1932,UAE,0.54,,
1933,UAE,0.6,,
1934,UAE,1.08,,
1935,UAE,0.66,,
1936,UAE,1.14,,
1937,UAE,1.27,,
1938,UAE,1.2,,
1939,UAE,1.43,,
1940,UAE,1.34,,
1941,UAE,1.55,,
1942,UAE,1.9,,
1943,UAE,1.71,,
1944,UAE,2.4,,
1945,UAE,2.14,,
1946,UAE,2.69,,
1947,UAE,3,,
1948,UAE,3.32,,
1949,UAE,3.66,,
1950,UAE,4,,
1951,UAE,4.36,,
1952,UAE,4.76,,
1953,UAE,5.19,,
1954,UAE,5.66,,
1955,UAE,6.18,,
1956,UAE,6.73,,
1957,UAE,7.34,,
1958,UAE,8,,
1959,UAE,8.71,,
1960,UAE,9.47,,
1961,UAE,10.2,,
1962,UAE,11,,
1963,UAE,11.7,,
1964,UAE,12.6,,
1965,UAE,15.1,,
1966,UAE,13.7,,
1967,UAE,17.7,,
1968,UAE,20.2,,
1969,UAE,42.3,,
1970,UAE,41.7,,
1971,UAE,56.5,,
1972,UAE,62.1,,
1973,UAE,80.6,,
1974,UAE,81.4,,
1975,UAE,80.1,,
1976,UAE,99.5,,
1977,UAE,93.1,,
1978,UAE,107,,
1979,UAE,73.1,,
1980,UAE,71.8,,
1981,UAE,60.3,,
1982,UAE,55.1,,
1983,UAE,57,,
1984,UAE,72.3,,
1985,UAE,62.6,,
1986,UAE,72.6,,
1987,UAE,59.4,,
1988,UAE,56.8,,
1989,UAE,61.2,,
1990,UAE,67.2,,
1991,UAE,68.9,,
1992,UAE,83.2,,
1993,UAE,76.3,,
1994,UAE,84.8,,
1995,UAE,62.1,,
1996,UAE,77.5,,
1997,UAE,81.3,,
1998,UAE,103,,
1999,UAE,104,,
2000,UAE,138,,
2001,UAE,136,,
2002,UAE,126,,
2003,UAE,157,,
2004,UAE,171,,
2005,UAE,183,,
2006,UAE,235,,
2007,UAE,186,,
2008,UAE,205,,
2009,UAE,193,,
2010,UAE,253,,
2011,UAE,205,,
2012,UAE,212,,
2013,UAE,206,,
2014,UAE,215,,
2015,UAE,212,,
2016,UAE,262,,
2017,UAE,266,,
2018,UAE,271,,
1850,Colombia,0.34,,
1851,Colombia,0.32,,
1852,Colombia,0.35,,
1853,Colombia,0.36,,
1854,Colombia,0.37,,
1855,Colombia,0.38,,
1856,Colombia,0.4,,
1857,Colombia,0.41,,
1858,Colombia,0.42,,
1859,Colombia,0.43,,
1860,Colombia,0.45,,
1861,Colombia,0.46,,
1862,Colombia,0.47,,
1863,Colombia,0.49,,
1864,Colombia,0.5,,
1865,Colombia,0.51,,
1866,Colombia,0.53,,
1867,Colombia,0.54,,
1868,Colombia,0.56,,
1869,Colombia,0.57,,
1870,Colombia,0.59,,
1871,Colombia,0.61,,
1872,Colombia,0.63,,
1873,Colombia,0.66,,
1874,Colombia,0.69,,
1875,Colombia,0.72,,
1876,Colombia,0.75,,
1877,Colombia,0.79,,
1878,Colombia,0.82,,
1879,Colombia,0.85,,
1880,Colombia,0.89,,
1881,Colombia,0.87,,
1882,Colombia,0.92,,
1883,Colombia,0.94,,
1884,Colombia,0.96,,
1885,Colombia,0.99,,
1886,Colombia,1.01,,
1887,Colombia,1.03,,
1888,Colombia,1.66,,
1889,Colombia,1.78,,
1890,Colombia,1.55,,
1891,Colombia,1.91,,
1892,Colombia,1.46,,
1893,Colombia,1.06,,
1894,Colombia,2.04,,
1895,Colombia,1.38,,
1896,Colombia,1.08,,
1897,Colombia,1.31,,
1898,Colombia,1.27,,
1899,Colombia,1.24,,
1900,Colombia,2.18,,
1901,Colombia,2.37,,
1902,Colombia,2.65,,
1903,Colombia,3,,
1904,Colombia,3.39,,
1905,Colombia,3.8,,
1906,Colombia,4.21,,
1907,Colombia,4.59,,
1908,Colombia,5.19,,
1909,Colombia,4.92,,
1910,Colombia,5.35,,
1911,Colombia,5.46,,
1912,Colombia,5.57,,
1913,Colombia,5.94,,
1914,Colombia,5.67,,
1915,Colombia,5.86,,
1916,Colombia,6.02,,
1917,Colombia,5.77,,
1918,Colombia,6.15,,
1919,Colombia,6.09,,
1920,Colombia,6.19,,
1921,Colombia,6.48,,
1922,Colombia,6.29,,
1923,Colombia,6.2,,
1924,Colombia,6.41,,
1925,Colombia,6.32,,
1926,Colombia,6.67,,
1927,Colombia,6.98,,
1928,Colombia,7.18,,
1929,Colombia,6.3,,
1930,Colombia,7.38,,
1931,Colombia,7.21,,
1932,Colombia,6.48,,
1933,Colombia,6.8,,
1934,Colombia,9.05,,
1935,Colombia,6.77,,
1936,Colombia,9.65,,
1937,Colombia,10.4,,
1938,Colombia,9.93,,
1939,Colombia,12,,
1940,Colombia,12.1,,
1941,Colombia,11.9,,
1942,Colombia,13,,
1943,Colombia,12.8,,
1944,Colombia,14.9,,
1945,Colombia,14.5,,
1946,Colombia,16.1,,
1947,Colombia,16.9,,
1948,Colombia,17.1,,
1949,Colombia,18.3,,
1950,Colombia,21,,
1951,Colombia,22.3,,
1952,Colombia,23.9,,
1953,Colombia,27.2,,
1954,Colombia,27.9,,
1955,Colombia,31.7,,
1956,Colombia,34.1,,
1957,Colombia,36.8,,
1958,Colombia,38.7,,
1959,Colombia,41.6,,
1960,Colombia,43,,
1961,Colombia,46,,
1962,Colombia,48,,
1963,Colombia,50.2,,
1964,Colombia,51.2,,
1965,Colombia,53.8,,
1966,Colombia,52.3,,
1967,Colombia,56.5,,
1968,Colombia,59.8,,
1969,Colombia,61.9,,
1970,Colombia,63.8,,
1971,Colombia,66.7,,
1972,Colombia,68.8,,
1973,Colombia,71.1,,
1974,Colombia,74.3,,
1975,Colombia,75.6,,
1976,Colombia,79,,
1977,Colombia,80.6,,
1978,Colombia,83.3,,
1979,Colombia,85.8,,
1980,Colombia,85.5,,
1981,Colombia,86.2,,
1982,Colombia,91,,
1983,Colombia,88.8,,
1984,Colombia,90,,
1985,Colombia,91.8,,
1986,Colombia,90,,
1987,Colombia,94.5,,
1988,Colombia,96.6,,
1989,Colombia,99.6,,
1990,Colombia,103,,
1991,Colombia,108,,
1992,Colombia,111,,
1993,Colombia,110,,
1994,Colombia,113,,
1995,Colombia,98,,
1996,Colombia,116,,
1997,Colombia,120,,
1998,Colombia,120,,
1999,Colombia,115,,
2000,Colombia,117,,
2001,Colombia,116,,
2002,Colombia,117,,
2003,Colombia,121,,
2004,Colombia,125,,
2005,Colombia,130,,
2006,Colombia,159,,
2007,Colombia,138,,
2008,Colombia,156,,
2009,Colombia,140,,
2010,Colombia,159,,
2011,Colombia,147,,
2012,Colombia,138,,
2013,Colombia,142,,
2014,Colombia,145,,
2015,Colombia,148,,
2016,Colombia,165,,
2017,Colombia,165,,
2018,Colombia,168,,
1850,Afghanistan,0.92,,
1851,Afghanistan,0.86,,
1852,Afghanistan,0.98,,
1853,Afghanistan,1.04,,
1854,Afghanistan,1.1,,
1855,Afghanistan,1.15,,
1856,Afghanistan,1.21,,
1857,Afghanistan,1.26,,
1858,Afghanistan,1.31,,
1859,Afghanistan,1.36,,
1860,Afghanistan,1.41,,
1861,Afghanistan,1.46,,
1862,Afghanistan,1.5,,
1863,Afghanistan,1.55,,
1864,Afghanistan,1.59,,
1865,Afghanistan,1.63,,
1866,Afghanistan,1.67,,
1867,Afghanistan,1.71,,
1868,Afghanistan,1.75,,
1869,Afghanistan,1.79,,
1870,Afghanistan,1.83,,
1871,Afghanistan,1.87,,
1872,Afghanistan,1.91,,
1873,Afghanistan,1.97,,
1874,Afghanistan,2.02,,
1875,Afghanistan,2.08,,
1876,Afghanistan,2.13,,
1877,Afghanistan,2.18,,
1878,Afghanistan,2.23,,
1879,Afghanistan,2.27,,
1880,Afghanistan,2.34,,
1881,Afghanistan,2.31,,
1882,Afghanistan,2.37,,
1883,Afghanistan,2.4,,
1884,Afghanistan,2.42,,
1885,Afghanistan,2.45,,
1886,Afghanistan,2.47,,
1887,Afghanistan,2.49,,
1888,Afghanistan,2.63,,
1889,Afghanistan,2.63,,
1890,Afghanistan,2.62,,
1891,Afghanistan,2.64,,
1892,Afghanistan,2.61,,
1893,Afghanistan,2.51,,
1894,Afghanistan,2.65,,
1895,Afghanistan,2.6,,
1896,Afghanistan,2.53,,
1897,Afghanistan,2.6,,
1898,Afghanistan,2.59,,
1899,Afghanistan,2.59,,
1900,Afghanistan,2.67,,
1901,Afghanistan,2.68,,
1902,Afghanistan,2.69,,
1903,Afghanistan,2.71,,
1904,Afghanistan,2.73,,
1905,Afghanistan,2.75,,
1906,Afghanistan,2.78,,
1907,Afghanistan,2.8,,
1908,Afghanistan,2.85,,
1909,Afghanistan,2.82,,
1910,Afghanistan,2.87,,
1911,Afghanistan,2.89,,
1912,Afghanistan,2.91,,
1913,Afghanistan,2.99,,
1914,Afghanistan,2.93,,
1915,Afghanistan,2.97,,
1916,Afghanistan,3.01,,
1917,Afghanistan,2.95,,
1918,Afghanistan,3.07,,
1919,Afghanistan,3.04,,
1920,Afghanistan,3.18,,
1921,Afghanistan,5.05,,
1922,Afghanistan,3.3,,
1923,Afghanistan,3.11,,
1924,Afghanistan,5.19,,
1925,Afghanistan,3.46,,
1926,Afghanistan,4.91,,
1927,Afghanistan,5.33,,
1928,Afghanistan,4.74,,
1929,Afghanistan,3.65,,
1930,Afghanistan,5.46,,
1931,Afghanistan,4.54,,
1932,Afghanistan,3.87,,
1933,Afghanistan,4.09,,
1934,Afghanistan,5.58,,
1935,Afghanistan,4.32,,
1936,Afghanistan,5.71,,
1937,Afghanistan,5.97,,
1938,Afghanistan,5.84,,
1939,Afghanistan,6.26,,
1940,Afghanistan,6.11,,
1941,Afghanistan,6.44,,
1942,Afghanistan,6.88,,
1943,Afghanistan,6.64,,
1944,Afghanistan,7.42,,
1945,Afghanistan,7.14,,
1946,Afghanistan,7.7,,
1947,Afghanistan,7.99,,
1948,Afghanistan,8.28,,
1949,Afghanistan,8.55,,
1950,Afghanistan,8.88,,
1951,Afghanistan,9.17,,
1952,Afghanistan,9.53,,
1953,Afghanistan,9.94,,
1954,Afghanistan,10.4,,
1955,Afghanistan,10.9,,
1956,Afghanistan,11.3,,
1957,Afghanistan,11.8,,
1958,Afghanistan,12.2,,
1959,Afghanistan,12.6,,
1960,Afghanistan,12.9,,
1961,Afghanistan,12.7,,
1962,Afghanistan,13.1,,
1963,Afghanistan,13.6,,
1964,Afghanistan,14.1,,
1965,Afghanistan,15.3,,
1966,Afghanistan,14.7,,
1967,Afghanistan,15.9,,
1968,Afghanistan,16.5,,
1969,Afghanistan,16.4,,
1970,Afghanistan,17.1,,
1971,Afghanistan,17.3,,
1972,Afghanistan,15.2,,
1973,Afghanistan,15.2,,
1974,Afghanistan,17,,
1975,Afghanistan,17.8,,
1976,Afghanistan,17.8,,
1977,Afghanistan,18.4,,
1978,Afghanistan,17.6,,
1979,Afghanistan,17.4,,
1980,Afghanistan,17.1,,
1981,Afghanistan,17.3,,
1982,Afghanistan,17.3,,
1983,Afghanistan,17.4,,
1984,Afghanistan,16.6,,
1985,Afghanistan,14.4,,
1986,Afghanistan,16.4,,
1987,Afghanistan,14.4,,
1988,Afghanistan,14.3,,
1989,Afghanistan,12.9,,
1990,Afghanistan,13.1,,
1991,Afghanistan,12.2,,
1992,Afghanistan,12.4,,
1993,Afghanistan,12.3,,
1994,Afghanistan,12.9,,
1995,Afghanistan,13.1,,
1996,Afghanistan,14,,
1997,Afghanistan,15,,
1998,Afghanistan,15.8,,
1999,Afghanistan,16.7,,
2000,Afghanistan,14.9,,
2001,Afghanistan,13.3,,
2002,Afghanistan,15.9,,
2003,Afghanistan,16.6,,
2004,Afghanistan,16.4,,
2005,Afghanistan,17.2,,
2006,Afghanistan,34,,
2007,Afghanistan,17.7,,
2008,Afghanistan,32.5,,
2009,Afghanistan,18.8,,
2010,Afghanistan,34.1,,
2011,Afghanistan,29.8,,
2012,Afghanistan,22.3,,
2013,Afghanistan,34.1,,
2014,Afghanistan,25.5,,
2015,Afghanistan,32.7,,
2016,Afghanistan,35.5,,
2017,Afghanistan,36,,
2018,Afghanistan,41.3,,
1850,Liberia,0.08,,
1851,Liberia,0.07,,
1852,Liberia,0.08,,
1853,Liberia,0.08,,
1854,Liberia,0.08,,
1855,Liberia,0.08,,
1856,Liberia,0.09,,
1857,Liberia,0.09,,
1858,Liberia,0.09,,
1859,Liberia,0.09,,
1860,Liberia,0.09,,
1861,Liberia,0.09,,
1862,Liberia,0.1,,
1863,Liberia,0.1,,
1864,Liberia,0.1,,
1865,Liberia,0.1,,
1866,Liberia,0.1,,
1867,Liberia,0.11,,
1868,Liberia,0.11,,
1869,Liberia,0.11,,
1870,Liberia,0.11,,
1871,Liberia,0.11,,
1872,Liberia,0.11,,
1873,Liberia,0.12,,
1874,Liberia,0.12,,
1875,Liberia,0.12,,
1876,Liberia,0.13,,
1877,Liberia,0.13,,
1878,Liberia,0.13,,
1879,Liberia,0.13,,
1880,Liberia,0.14,,
1881,Liberia,0.14,,
1882,Liberia,0.14,,
1883,Liberia,0.14,,
1884,Liberia,0.14,,
1885,Liberia,0.15,,
1886,Liberia,0.15,,
1887,Liberia,0.15,,
1888,Liberia,0.17,,
1889,Liberia,0.17,,
1890,Liberia,0.17,,
1891,Liberia,0.17,,
1892,Liberia,0.16,,
1893,Liberia,0.15,,
1894,Liberia,0.18,,
1895,Liberia,0.16,,
1896,Liberia,0.15,,
1897,Liberia,0.16,,
1898,Liberia,0.16,,
1899,Liberia,0.16,,
1900,Liberia,0.18,,
1901,Liberia,0.18,,
1902,Liberia,0.19,,
1903,Liberia,0.19,,
1904,Liberia,0.19,,
1905,Liberia,0.2,,
1906,Liberia,0.2,,
1907,Liberia,0.2,,
1908,Liberia,0.21,,
1909,Liberia,0.21,,
1910,Liberia,0.21,,
1911,Liberia,0.22,,
1912,Liberia,0.22,,
1913,Liberia,0.23,,
1914,Liberia,0.22,,
1915,Liberia,0.23,,
1916,Liberia,0.24,,
1917,Liberia,0.23,,
1918,Liberia,0.25,,
1919,Liberia,0.24,,
1920,Liberia,0.26,,
1921,Liberia,0.31,,
1922,Liberia,0.26,,
1923,Liberia,0.25,,
1924,Liberia,0.31,,
1925,Liberia,0.27,,
1926,Liberia,0.3,,
1927,Liberia,0.31,,
1928,Liberia,0.3,,
1929,Liberia,0.27,,
1930,Liberia,0.32,,
1931,Liberia,0.29,,
1932,Liberia,0.28,,
1933,Liberia,0.28,,
1934,Liberia,0.32,,
1935,Liberia,0.29,,
1936,Liberia,0.33,,
1937,Liberia,0.34,,
1938,Liberia,0.33,,
1939,Liberia,0.35,,
1940,Liberia,0.34,,
1941,Liberia,0.37,,
1942,Liberia,0.42,,
1943,Liberia,0.39,,
1944,Liberia,0.51,,
1945,Liberia,0.46,,
1946,Liberia,0.55,,
1947,Liberia,0.59,,
1948,Liberia,0.63,,
1949,Liberia,0.65,,
1950,Liberia,0.67,,
1951,Liberia,0.67,,
1952,Liberia,0.69,,
1953,Liberia,0.69,,
1954,Liberia,0.73,,
1955,Liberia,0.68,,
1956,Liberia,0.67,,
1957,Liberia,0.7,,
1958,Liberia,0.78,,
1959,Liberia,0.76,,
1960,Liberia,0.79,,
1961,Liberia,0.81,,
1962,Liberia,0.92,,
1963,Liberia,1.05,,
1964,Liberia,1.21,,
1965,Liberia,1.32,,
1966,Liberia,1.3,,
1967,Liberia,1.33,,
1968,Liberia,1.62,,
1969,Liberia,2.03,,
1970,Liberia,2.27,,
1971,Liberia,2.35,,
1972,Liberia,2.36,,
1973,Liberia,2.37,,
1974,Liberia,2.59,,
1975,Liberia,2.38,,
1976,Liberia,2.41,,
1977,Liberia,2.47,,
1978,Liberia,2.48,,
1979,Liberia,2.97,,
1980,Liberia,3.15,,
1981,Liberia,3.04,,
1982,Liberia,1.91,,
1983,Liberia,1.78,,
1984,Liberia,1.92,,
1985,Liberia,1.97,,
1986,Liberia,1.94,,
1987,Liberia,2.04,,
1988,Liberia,2.08,,
1989,Liberia,1.68,,
1990,Liberia,1.43,,
1991,Liberia,1.38,,
1992,Liberia,1.31,,
1993,Liberia,1.35,,
1994,Liberia,1.37,,
1995,Liberia,1.96,,
1996,Liberia,1.46,,
1997,Liberia,1.6,,
1998,Liberia,1.75,,
1999,Liberia,1.91,,
2000,Liberia,2.01,,
2001,Liberia,2.17,,
2002,Liberia,2.21,,
2003,Liberia,2.31,,
2004,Liberia,2.44,,
2005,Liberia,2.58,,
2006,Liberia,3.73,,
2007,Liberia,2.82,,
2008,Liberia,3.63,,
2009,Liberia,2.77,,
2010,Liberia,4.13,,
2011,Liberia,3.21,,
2012,Liberia,2.76,,
2013,Liberia,3.44,,
2014,Liberia,3.04,,
2015,Liberia,3.68,,
2016,Liberia,4.1,,
2017,Liberia,4.23,,
2018,Liberia,4.36,,
